Service_ID,Service_Name,Price,OfflineViewing,AdFree,SimultaneousStreaming,NumberScreens,VideoQuality,StreamingDifferentPlatforms,DownloadMobileApps,ParentalControl,Captions,Upgrade to Premium,Others
1,Crackle,Free,no,no,yes,,,,yes,yes,yes,no,
2,Crunchyroll,Free,no,no,no,1,HD,no,yes,no,yes,yes,
3,IMDb TV,Free with streaming or cable suscription,no,no,yes,NA,HD,yes,yes,yes,yes,yes,
4,Peacock,Free with streaming or cable suscription,yes,no,yes,3,SD,yes,yes,no,yes,yes,
5,Plex,Free with streaming or cable suscription,yes,yes,no,1,HD,yes,yes,yes,yes,yes,
6,PlutoTV,Free with streaming or cable suscription,no,no,NA,1,"SD, HD",yes,yes,yes,yes,no,
7,PopcornFlix,Free with streaming or cable suscription,NA,no,yes,NA,SD,yes,yes,no,yes,no,
8,Tubi,Free with streaming or cable suscription,no,no,yes,NA,sd,yes,yes,yes,yes,no,
9,Vudu,Free with streaming or cable suscription,yes,no,yes,NA,"sd, hd, hdx",yes,yes,yes,yes,no,
10,AcornTV,$5.99 ,no ,yes,yes,4,sd,yes,no,no,yes,yes,
11,AMC Premiere,Free with streaming or cable suscription,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,Apple TV+,$14.95 ,yes,yes,yes,"3, 3, 6, 6","hd, 4k, hdr",yes,yes,yes,yes,yes,
13,BET+,$9.99 ,yes,yes,yes,NA,sd,yes,yes,yes,yes,no,
14,BritBox,$5.99 ,no,yes,yes,5,"sd, hd",yes,yes,yes,yes,no,
15,CBS All Access,$5.99 ,yes,"no, yes, no , yes",yes,2,"sd, hd",yes,yes,yes,yes,yes,
16,Cinemax,Free with streaming or cable suscription,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,
17,The Criterion Channel,$10.99 ,yes,yes,yes,3,hd,yes,yes,no,yes,yes,
18,Crunchyroll Premium,$7.99 ,yes,yes,yes,"1, 4, 6",hd,yes,yes,no,yes,yes,
19,DC Universe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20,Discovery+,$4.99 ,no,yes,yes,5,SD,yes,yes,no,yes,yes,
21,Disney+,$6.99 ,yes,yes,yes,4,"SD, HD",yes,yes,no,yes,no,
22,Epix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
23,Fandor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24,fuboTV,$24.99 ,no,yes,yes,5,"HD, 4k",yes,no,no,yes,yes,
25,Funimation,Free with streaming or cable suscription,yes,yes,yes,5,"sd, hd",yes,yes,yes,yes,yes,
26,Hallmark Movies Now,$5.99 ,no,yes,yes,2,sd,yes,yes,NA,yes,no,
27,HBO,$14.95 ,yes,yes,yes,,"HD, 4k",yes,yes,yes,yes,no,
28,HBO MAX,$14.95 ,yes,yes,yes,,"HD, 4k",yes,yes,yes,yes,yes,
29,Hoopla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
30,Hulu,$5.99 ,no,no,yes,2,"SD, HD",yes,yes,yes,yes,yes,
31,IndieFlix,$4.99 ,yes,yes,yes,NA,"sd, hd ",yes,no,yes,yes,yes,
32,Kanopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
33,Mubi,$10.99 ,no,yes,no,1,yes,yes,yes,no,yes,no,
34,Netflix,$8.99 ,no,yes,no,1,SD,yes,yes,yes,yes,yes,
35,Peacock Premium,$4.99 ,no,no,yes,3,SD,yes,yes,yes,yes,yes,
36,Philo,$20.00 ,no,no,yes,3,"SD, HD",yes,yes,yes,yes,no,
37,Prime Video,$12.99 ,yes,yes,yes,3,"SD, HD",yes,yes,yes,yes,no,
38,Showtime,Free with streaming or cable suscription,no,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
39,Shudder,$5.99 ,no,yes,no,1,SD,Yes,yes,no,yes,no,
40,Starz,Free with streaming or cable suscription,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
41,TVision,Free with streaming or cable suscription,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
42,YouTube Premium,$64.99 ,Yes,No,Yes,3,"HD, Ultra HD",,,,,Yes,
43,A&E,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
44,ABC,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
45,Adult Swim,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
46,AMC,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
47,BBC America,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
48,BET,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
49,Bravo,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
50,Cartoon Network,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
51,Comedy Central,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
52,DisneyNOW,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
53,FOX,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
54,FX,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
55,FYI,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
56,Hallmark,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
57,History,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
58,IFC,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
59,Lifetime,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
60,MTV,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
61,NatGeo,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
62,NBC,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
63,Science,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
64,Sundance,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
65,Syfy,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
66,TBS,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
67,TLC,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
68,TNT,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
69,TruTV,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
70,TVLand,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
71,USA,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
72,VH1,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
73,Viceland,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
74,DIY,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
75,Food Network,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
76,HGTV,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
77,TCM,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
78,Travel Channel,Free with streaming or cable suscription,No,No,Yes,N/A,SD,Yes,Yes,N/A,Yes,no,
